t,euler1,euler2,heun1,heun2
29.0,-9.785407569527934e+41,2.9202498491353013e+42,-7.401592427352225e+28,9.299186952379569e+28
29.5,5.196761995389747e+42,-1.5508647264000562e+43,2.92710132187068e+29,-7.490725333650436e+28
30.0,-2.7598579869913447e+43,8.236217871234908e+43,-4.2546100340848754e+29,-6.1561692326595664e+29
30.5,1.465685000605588e+44,-4.374029769824729e+44,-1.1928234166412348e+30,3.1507141047039863e+30
31.0,-7.783851673259807e+44,2.322927431792715e+45,8.847445317051772e+30,-6.351348135262457e+30
31.5,4.1337904697309287e+45,-1.23364314769886e+46,-2.3077978964907024e+31,-5.881081163276666e+30
32.0,-2.1953429182550002e+46,6.55154093509433e+46,4.077002474501425e+30,8.523835547038306e+31
32.5,1.1658865063487574e+47,-3.479343982437811e+47,2.097782279123321e+32,-2.7723423652195936e+32
33.0,-6.191703967444701e+47,1.8477843102955302e+48,-8.637926242685586e+32,2.5488124302448778e+32
33.5,3.288244422738215e+48,-9.813076472485153e+48,1.3401143555597588e+33,1.7113621399113212e+33
34.0,-1.746296567232572e+49,5.211456192061736e+49,3.187887292941548e+33,-9.215085494272178e+33
34.5,9.274102860604312e+49,-2.7676616724561764e+50,-2.563185702031163e+34,1.9448599308259501e+34
35.0,-4.925222066110514e+50,1.4698293242588917e+51,6.947942192092734e+34,1.377430926281071e+34
35.5,2.6156505664334688e+51,-7.805861041295894e+51,-2.2103106431127887e+34,-2.443800790377661e+35
36.0,-1.3891003885407774e+52,4.1454790423876926e+52,-5.929637947360849e+35,8.250374797541152e+35
36.5,7.37713177060656e+52,-2.2015503991117176e+53,2.5451179873517773e+36,-8.493654478497298e+35
37.0,-3.917792667098884e+53,1.169183129445352e+54,-4.1945033818318325e+36,-4.7361305000780577e+36
37.5,2.08063240018712e+54,-6.209211429959451e+54,-8.427049123229489e+36,2.6911186151930357e+37
38.0,-1.1049668914496318e+55,3.297542156653324e+55,7.413547660385389e+37,-5.935626342320762e+37
38.5,5.868176575016602e+55,-1.7512343391046142e+56,-2.0871840264440512e+38,-3.0172316917163565e+37
39.0,-3.116427884132966e+56,9.300326014851294e+56,9.441380785897562e+37,6.99232419469593e+38
39.5,1.655049508624236e+57,-4.939148465233054e+57,1.671251812528741e+39,-2.451034988914474e+39
40.0,-8.789514719540527e+57,2.6230464956452485e+58,-7.487568634731448e+39,2.785279940399094e+39
40.5,4.6678705744119087e+58,-1.3930281640141324e+59,1.305620882751045e+40,1.304128362630352e+40
41.0,-2.4789782365367708e+59,7.397991110558756e+59,2.197871913237218e+40,-7.847030249118288e+40
41.5,1.3165174567842832e+60,-3.928870491332803e+60,-2.1406093892192505e+41,1.8059861889804135e+41
42.0,-6.991663696245797e+60,2.0865155292812733e+61,6.256886362928199e+41,5.843777327980633e+40
